persona,user_id,age,is_urban,is_weekend_rider,is_rain_rider,is_airport_trip,is_rush_hour,payment_type,passenger_count,monthly_rides_history,recency_days,preferred_hour,Y0,Y1,ite_realized,cate_true,treatment_rand,Y_rand,treatment_obs,propensity_true,Y_obs,avg_fare_per_trip,gross_revenue_30d,discount_cost_30d,net_contribution,y_obs,fare_rand
Suburban Cash,20,32,0,1,0,0,0,2,2,2,11,12,4,15,11,1.1878,1,15,1,0.372624,15,21.44,321.6,45.0,180.12,15,321.6
Suburban Cash,21,28,0,1,0,0,0,2,1,0,12,14,0,4,4,1.5706,0,0,1,0.185943,4,9.85,0.0,0.0,0.0,0,0.0
Urban Regulars,22,35,1,1,0,0,1,2,3,5,5,9,9,11,2,0.2777,1,11,0,0.556427,9,25.67,282.37,33.0,164.66,11,282.37
Suburban Cash,23,24,0,0,0,0,0,2,2,2,10,3,6,3,-3,0.4213,0,6,1,0.515023,3,27.01,162.06,0.0,113.44,6,162.06
Suburban Card,24,35,0,1,0,0,1,1,1,10,15,8,11,2,-9,0.7398,1,2,0,0.228161,11,26.82,53.64,6.0,31.55,2,53.64
Suburban Cash,25,29,0,0,0,0,0,2,1,0,7,11,3,6,3,1.1692,0,3,0,0.246266,3,25.65,76.95,0.0,53.86,3,76.95
Urban Regulars,26,24,1,1,0,0,1,2,1,2,4,19,9,10,1,0.2865,0,9,1,0.571368,10,6.47,58.23,0.0,40.76,9,58.23
Urban Regulars,27,34,1,1,0,0,1,2,3,2,5,7,0,13,13,0.5135,0,0,0,0.397016,0,11.74,0.0,0.0,0.0,0,0.0
Urban Regulars,28,26,1,0,0,0,0,2,1,5,5,2,12,17,5,0.5116,1,17,0,0.9077,12,16.23,275.91,41.39,151.75,17,275.91
Urban Regulars,29,29,1,0,0,0,0,2,1,5,3,21,9,2,-7,1.1317,1,2,1,0.90615,2,18.48,36.96,5.54,20.33,2,36.96
Suburban Cash,30,39,0,0,0,0,1,2,1,1,18,9,4,6,2,0.7599,0,4,0,0.030548,4,15.45,61.8,0.0,43.26,4,61.8
Suburban Cash,31,33,0,0,0,0,1,2,1,0,8,18,3,1,-2,0.9421,0,3,0,0.049681,3,25.63,76.89,0.0,53.82,3,76.89
Suburban Cash,32,44,0,0,0,0,0,2,3,0,15,13,0,6,6,1.2473,1,6,0,0.061643,0,14.06,84.36,12.65,46.4,6,84.36
Urban Regulars,33,22,1,1,0,0,0,2,3,0,4,12,0,0,0,2.2581,0,0,1,0.688169,0,9.89,0.0,0.0,0.0,0,0.0
Airport Business,34,29,1,0,0,1,0,2,1,0,3,14,14,4,-10,1.3064,1,4,1,0.608416,4,43.8,175.2,12.0,110.64,4,175.2
Urban Regulars,35,39,1,0,0,0,0,2,2,1,3,6,12,23,11,0.829,0,12,1,0.628561,23,6.36,76.32,0.0,53.42,12,76.32
Urban Regulars,36,28,1,0,0,0,0,2,1,10,6,22,29,54,25,0.859,0,29,1,0.936766,54,9.97,289.13,0.0,202.39,29,289.13
Urban Regulars,37,21,1,1,0,0,0,2,1,9,1,12,23,21,-2,0.8998,1,21,1,0.969334,21,12.52,262.92,39.44,144.6,21,262.92
Urban Regulars,38,29,1,0,0,0,0,2,1,3,3,13,10,20,10,1.0074,1,20,1,0.864608,20,8.11,162.2,24.33,89.21,20,162.2
Urban Regulars,39,35,1,0,0,0,0,2,1,2,4,2,10,26,16,0.9028,1,26,0,0.751003,10,16.88,438.88,65.83,241.39,26,438.88
Suburban Card,40,30,0,0,0,0,0,1,1,7,13,21,2,0,-2,0.8144,1,0,1,0.607136,0,24.25,0.0,0.0,0.0,0,0.0
Urban Regulars,41,25,1,0,0,0,1,2,1,3,5,18,8,34,26,0.3927,0,8,1,0.606971,34,10.82,86.56,0.0,60.59,8,86.56
Suburban Cash,42,38,0,0,0,0,0,2,1,0,14,1,3,5,2,1.3744,1,5,0,0.093982,3,80.11,400.55,15.0,265.38,5,400.55
Suburban Card,43,37,0,0,0,0,1,1,2,4,14,17,0,11,11,0.928,0,0,0,0.112759,0,29.42,0.0,0.0,0.0,0,0.0
Urban Regulars,44,27,1,0,0,0,1,2,2,6,1,17,6,18,12,0.0896,0,6,1,0.771532,18,23.04,138.24,0.0,96.77,6,138.24
Suburban Card,45,28,0,0,0,0,0,1,4,4,14,15,0,2,2,1.0637,0,0,1,0.499083,2,54.49,0.0,0.0,0.0,0,0.0
Suburban Card,46,29,0,0,0,0,0,1,1,2,13,12,0,4,4,0.9067,0,0,1,0.376927,4,33.35,0.0,0.0,0.0,0,0.0
Urban Regulars,47,23,1,1,0,0,0,2,1,2,6,10,0,9,9,1.3757,1,9,1,0.843107,9,17.64,158.76,23.81,87.32,9,158.76
Rain Riders,48,21,1,1,1,0,1,2,1,1,3,18,0,5,5,0.5721,1,5,0,0.25816,0,10.72,53.6,8.04,29.48,5,53.6
Suburban Cash,49,43,0,1,0,0,1,2,1,0,16,18,1,0,-1,1.1986,1,0,0,0.014138,1,20.63,0.0,0.0,0.0,0,0.0
Rain Riders,50,31,1,0,1,0,0,1,1,1,3,1,10,4,-6,2.0246,0,10,0,0.455894,10,5.03,50.3,0.0,35.21,10,50.3
Urban Regulars,51,30,1,0,0,0,1,2,2,3,4,19,19,3,-16,0.459,0,19,1,0.551801,3,25.15,477.85,0.0,334.5,19,477.85
Urban Regulars,52,30,1,0,0,0,0,2,3,7,5,16,7,20,13,0.4665,0,7,1,0.911384,20,19.14,133.98,0.0,93.79,7,133.98
Suburban Cash,53,31,0,0,0,0,1,2,1,1,8,18,0,8,8,0.3366,1,8,0,0.10715,0,38.16,305.28,24.0,189.7,8,305.28
Suburban Card,54,30,0,1,0,0,0,1,1,4,10,11,11,11,0,1.4664,0,11,0,0.551847,11,28.97,318.67,0.0,223.07,11,318.67
Suburban Cash,55,25,0,0,0,0,0,2,1,1,8,15,9,0,-9,1.0271,0,9,1,0.438465,0,33.47,301.23,0.0,210.86,9,301.23
Suburban Cash,56,40,0,0,0,0,1,2,2,2,10,9,3,7,4,0.3829,1,7,0,0.080615,3,66.05,462.35,21.0,302.64,7,462.35
Urban Regulars,57,45,1,0,0,0,1,2,1,12,10,19,39,22,-17,0.1258,1,22,1,0.493395,22,34.43,757.46,66.0,464.22,22,757.46
Urban Regulars,58,29,1,0,0,0,0,2,1,0,3,10,7,6,-1,2.5818,1,6,1,0.608416,6,18.21,109.26,16.39,60.09,6,109.26
Airport Business,59,32,1,1,0,1,0,2,1,10,5,10,32,15,-17,0.2544,1,15,1,0.926292,15,74.52,1117.8,45.0,737.46,15,1117.8
Urban Regulars,60,32,1,0,0,0,1,2,1,3,4,17,19,4,-15,0.1607,0,19,0,0.520909,19,25.99,493.81,0.0,345.67,19,493.81
Suburban Card,61,47,0,0,0,0,1,1,1,4,12,17,6,5,-1,0.7971,0,6,0,0.074733,6,29.13,174.78,0.0,122.35,6,174.78
Urban Regulars,62,24,1,0,0,0,0,2,1,3,2,13,10,7,-3,1.1453,0,10,1,0.904546,7,21.3,213.0,0.0,149.1,10,213.0
Urban Regulars,63,22,1,0,0,0,1,2,1,2,5,18,17,14,-3,0.205,0,17,0,0.581195,17,23.12,393.04,0.0,275.13,17,393.04
Suburban Cash,64,34,0,1,1,0,0,2,1,2,17,20,4,6,2,1.2633,1,6,0,0.087117,4,36.94,221.64,18.0,137.15,6,221.64
Suburban Cash,65,32,0,0,0,0,0,2,1,0,10,10,0,16,16,0.6999,0,0,0,0.174065,0,10.85,0.0,0.0,0.0,0,0.0
Urban Regulars,66,43,1,1,0,0,1,2,2,5,5,9,25,26,1,0.1729,0,25,0,0.43281,25,35.7,892.5,0.0,624.75,25,892.5
Urban Regulars,67,23,1,0,0,0,0,2,1,5,6,11,10,3,-7,0.6867,0,10,1,0.915927,3,41.45,414.5,0.0,290.15,10,414.5
Airport Business,68,39,1,0,0,1,0,2,3,2,3,11,17,5,-12,0.3301,1,5,1,0.71899,5,42.97,214.85,15.0,135.39,5,214.85
Urban Regulars,69,26,1,1,0,0,1,2,1,3,2,19,24,4,-20,0.2327,0,24,0,0.651246,24,15.01,360.24,0.0,252.17,24,360.24
Rain Riders,70,23,1,1,1,0,0,2,1,5,3,14,5,19,14,0.8762,1,19,1,0.808502,19,11.27,214.13,32.12,117.77,19,214.13
Rain Riders,71,37,1,1,1,0,1,2,1,0,2,7,0,0,0,0.3927,1,0,0,0.064623,0,27.99,0.0,0.0,0.0,0,0.0
Urban Regulars,72,24,1,1,0,0,1,2,1,9,0,7,15,32,17,0.0657,0,15,0,0.864251,15,27.62,414.3,0.0,290.01,15,414.3
Suburban Cash,73,41,0,0,0,0,1,2,2,1,15,8,4,0,-4,0.5142,0,4,0,0.034568,4,31.91,127.64,0.0,89.35,4,127.64
Rain Riders,74,28,1,0,1,0,0,2,2,5,2,10,6,25,19,0.9883,1,25,1,0.770946,25,9.45,236.25,35.44,129.94,25,236.25
Rain Riders,75,39,1,1,1,0,1,2,1,3,5,17,14,8,-6,0.1976,0,14,0,0.16311,14,24.74,346.36,0.0,242.45,14,346.36
Urban Regulars,76,34,1,0,0,0,0,2,1,6,5,11,7,3,-4,0.7602,0,7,1,0.875007,3,14.03,98.21,0.0,68.75,7,98.21
Urban Regulars,77,26,1,1,0,0,0,2,1,7,8,12,23,13,-10,0.8449,1,13,1,0.911099,13,35.89,466.57,39.0,287.6,13,466.57
Suburban Cash,78,49,0,0,0,0,1,2,1,4,13,17,8,0,-8,0.4575,1,0,0,0.061546,8,38.09,0.0,0.0,0.0,0,0.0
Urban Regulars,79,30,1,1,0,0,1,2,1,4,3,18,9,5,-4,0.1298,1,5,1,0.627027,5,7.83,39.15,5.87,21.53,5,39.15
Suburban Cash,80,33,0,0,0,0,0,2,1,0,15,15,0,2,2,0.9863,1,2,0,0.115137,0,18.96,37.92,5.69,20.85,2,37.92
Suburban Cash,81,34,0,0,0,0,0,2,1,3,9,21,7,9,2,0.4829,0,7,1,0.454157,9,12.62,88.34,0.0,61.84,7,88.34
Airport Business,82,33,1,1,0,1,0,2,1,8,5,10,11,7,-4,0.2611,0,11,1,0.905881,7,58.15,639.65,0.0,447.75,11,639.65
Suburban Cash,83,31,0,0,1,0,0,2,1,5,15,11,13,6,-7,0.7347,1,6,1,0.216158,6,20.2,121.2,18.0,66.84,6,121.2
Urban Regulars,84,25,1,0,0,0,0,2,3,5,4,15,11,4,-7,1.1143,1,4,1,0.919237,4,33.97,135.88,12.0,83.12,4,135.88
Urban Regulars,85,24,1,0,0,0,1,1,1,5,4,8,12,12,0,0.6192,0,12,1,0.729908,12,10.55,126.6,0.0,88.62,12,126.6
Urban Regulars,86,29,1,0,0,0,0,2,1,1,3,16,10,0,-10,0.574,1,0,1,0.759032,0,28.25,0.0,0.0,0.0,0,0.0
Suburban Cash,87,28,0,1,0,0,1,2,2,4,8,8,3,12,9,0.8071,0,3,0,0.269028,3,74.26,222.78,0.0,155.95,3,222.78
Urban Regulars,88,33,1,0,0,0,1,2,1,8,4,8,23,10,-13,0.118,0,23,1,0.700223,10,19.96,459.08,0.0,321.36,23,459.08
Urban Regulars,89,26,1,1,0,0,0,2,2,4,1,3,9,9,0,0.1106,1,9,1,0.919536,9,16.82,151.38,22.71,83.26,9,151.38
Urban Regulars,90,30,1,0,0,0,1,2,2,1,4,9,13,13,0,0.5018,0,13,1,0.37783,13,24.7,321.1,0.0,224.77,13,321.1
Rain Riders,91,34,1,0,1,0,0,2,1,4,2,22,12,5,-7,1.0846,1,5,1,0.658129,5,14.02,70.1,10.51,38.56,5,70.1
Suburban Card,92,48,0,1,0,0,1,1,1,4,10,8,16,11,-5,1.0503,0,16,0,0.082394,16,16.22,259.52,0.0,181.66,16,259.52
Airport Business,93,28,1,0,0,1,0,2,3,2,7,12,0,22,22,0.4011,1,22,0,0.783613,0,34.76,764.72,66.0,469.3,22,764.72
Airport Business,94,21,1,0,0,1,0,2,1,2,2,13,17,4,-13,0.1632,0,17,1,0.894907,4,40.64,690.88,0.0,483.62,17,690.88
Urban Regulars,95,21,1,0,0,0,1,2,1,10,5,9,13,7,-6,0.0932,0,13,1,0.847425,7,19.85,258.05,0.0,180.64,13,258.05
Suburban Cash,96,41,0,0,0,0,1,2,2,0,12,19,0,0,0,1.0061,1,0,0,0.022219,0,58.09,0.0,0.0,0.0,0,0.0
Urban Regulars,97,23,1,0,0,0,0,2,1,4,4,11,14,23,9,1.3418,0,14,1,0.914542,23,20.15,282.1,0.0,197.47,14,282.1
Urban Regulars,98,26,1,0,0,0,0,2,1,8,3,14,12,6,-6,0.9411,1,6,1,0.946207,6,17.64,105.84,15.88,58.21,6,105.84
Urban Regulars,99,33,1,0,0,0,1,2,1,2,5,18,23,8,-15,0.205,0,23,0,0.411981,23,43.24,994.52,0.0,696.16,23,994.52
Suburban Cash,100,29,0,1,0,0,0,2,2,0,14,22,0,8,8,1.3408,1,8,0,0.153585,0,21.85,174.8,24.0,98.36,8,174.8
Suburban Cash,101,25,0,1,0,0,0,2,2,7,11,13,12,11,-1,0.7842,0,12,1,0.713817,11,26.66,319.92,0.0,223.94,12,319.92
Suburban Cash,102,31,0,0,0,0,0,2,1,0,5,16,0,14,14,1.7321,1,14,0,0.25448,0,15.24,213.36,32.0,117.35,14,213.36
Urban Regulars,103,31,1,0,0,0,0,2,1,11,2,11,5,14,9,0.6288,0,5,1,0.949501,14,7.63,38.15,0.0,26.7,5,38.15
Suburban Cash,104,29,0,1,0,0,1,2,2,2,9,8,2,4,2,0.5403,0,2,0,0.158886,2,16.45,32.9,0.0,23.03,2,32.9
Suburban Card,105,38,0,0,0,0,1,1,1,4,15,7,17,12,-5,0.6129,0,17,0,0.098943,17,15.7,266.9,0.0,186.83,17,266.9
Suburban Cash,106,26,0,1,0,0,1,2,3,0,9,19,0,3,3,0.7958,1,3,0,0.069121,0,27.71,83.13,9.0,49.19,3,83.13
Urban Regulars,107,24,1,0,0,0,0,2,1,1,2,20,5,2,-3,1.652,1,2,1,0.823765,2,17.43,34.86,5.23,19.17,2,34.86
Urban Regulars,108,26,1,1,0,0,0,2,1,1,3,20,11,10,-1,1.3598,0,11,1,0.791465,10,22.33,245.63,0.0,171.94,11,245.63
Urban Regulars,109,34,1,0,0,0,1,2,1,0,9,19,0,0,0,0.6812,1,0,0,0.133066,0,29.16,0.0,0.0,0.0,0,0.0
Suburban Cash,110,30,0,0,0,0,1,2,1,0,15,9,3,0,-3,0.4957,0,3,1,0.0338,0,78.3,234.9,0.0,164.43,3,234.9
Urban Regulars,111,25,1,1,0,0,0,2,2,3,5,21,8,9,1,1.0977,0,8,0,0.873758,8,38.17,305.36,0.0,213.75,8,305.36
Urban Regulars,112,25,1,0,0,0,0,2,3,0,1,16,10,8,-2,0.5101,1,8,0,0.702082,10,11.06,88.48,13.27,48.67,8,88.48
Urban Regulars,113,30,1,1,0,0,1,2,2,2,4,17,5,9,4,0.4413,1,9,0,0.478672,5,8.09,72.81,10.92,40.05,9,72.81
Urban Regulars,114,32,1,0,0,0,1,2,2,7,3,18,10,18,8,0.0968,0,10,0,0.705666,10,24.24,242.4,0.0,169.68,10,242.4
Rain Riders,115,34,1,0,1,0,0,2,1,4,6,2,29,20,-9,0.5148,0,29,1,0.579055,20,13.86,401.94,0.0,281.36,29,401.94
Suburban Cash,116,54,0,0,1,0,1,2,1,0,8,9,0,4,4,0.571,0,0,0,0.004253,0,22.42,0.0,0.0,0.0,0,0.0
Suburban Cash,117,36,0,0,0,0,1,2,1,2,13,9,4,5,1,0.4757,0,4,0,0.080354,4,14.35,57.4,0.0,40.18,4,57.4
Suburban Cash,118,29,0,0,0,0,0,2,1,3,18,16,4,4,0,1.0635,0,4,0,0.347649,4,28.44,113.76,0.0,79.63,4,113.76
Urban Regulars,119,27,1,1,0,0,0,2,1,6,4,16,8,5,-3,0.2754,0,8,1,0.921646,5,11.4,91.2,0.0,63.84,8,91.2
Suburban Cash,120,27,0,0,0,0,1,2,1,0,7,19,2,8,6,0.7669,0,2,0,0.076254,2,32.53,65.06,0.0,45.54,2,65.06
Urban Regulars,121,28,1,0,0,0,1,2,1,0,4,17,12,3,-9,0.4364,0,12,0,0.253274,12,24.85,298.2,0.0,208.74,12,298.2
Suburban Cash,122,28,0,0,1,0,1,2,1,1,9,18,0,2,2,0.4762,1,2,0,0.038501,0,17.33,34.66,5.2,19.06,2,34.66
Urban Regulars,123,34,1,1,0,0,0,2,1,5,3,0,15,25,10,0.49,0,15,1,0.876191,25,24.35,365.25,0.0,255.68,15,365.25
Rain Riders,124,28,1,0,1,0,0,2,1,2,8,10,7,8,1,1.0046,1,8,0,0.500707,7,24.91,199.28,24.0,115.5,8,199.28
Rain Riders,125,37,1,1,1,0,1,2,3,0,3,7,6,0,-6,0.5594,1,0,0,0.059726,6,12.15,0.0,0.0,0.0,0,0.0
Urban Regulars,126,32,1,1,0,0,0,2,3,1,2,22,5,0,-5,1.3392,1,0,1,0.739814,0,9.78,0.0,0.0,0.0,0,0.0
Urban Regulars,127,31,1,0,0,0,1,2,2,5,6,8,17,10,-7,0.2157,1,10,1,0.596568,10,24.64,246.4,30.0,142.48,10,246.4
Urban Regulars,128,22,1,0,0,0,0,2,2,9,4,6,27,26,-1,0.478,0,27,1,0.958483,26,17.8,480.6,0.0,336.42,27,480.6
Rain Riders,129,30,1,0,1,0,0,2,2,4,2,20,4,15,11,1.0808,1,15,0,0.711669,4,19.38,290.7,43.6,159.89,15,290.7
Urban Regulars,130,40,1,0,0,0,0,1,1,3,2,6,15,33,18,0.7175,1,33,1,0.778105,33,16.79,554.07,83.11,304.74,33,554.07
Urban Regulars,131,25,1,0,0,0,0,2,2,3,5,21,9,6,-3,1.4361,1,6,1,0.873758,6,13.37,80.22,12.03,44.12,6,80.22
Suburban Cash,132,42,0,0,1,0,0,2,1,0,7,20,3,10,7,1.1405,0,3,0,0.042033,3,16.57,49.71,0.0,34.8,3,49.71
Urban Regulars,133,22,1,0,0,0,1,2,1,11,5,7,28,7,-21,0.2951,0,28,1,0.85083,7,52.41,1467.48,0.0,1027.24,28,1467.48
Urban Regulars,134,23,1,0,0,0,1,2,1,1,5,9,3,0,-3,0.4603,0,3,0,0.463103,3,25.79,77.37,0.0,54.16,3,77.37
Urban Regulars,135,27,1,0,0,0,0,2,2,4,3,14,19,19,0,0.8943,1,19,1,0.900777,19,20.48,389.12,57.0,215.38,19,389.12
Urban Regulars,136,25,1,0,0,0,1,2,2,1,4,7,5,12,7,0.3484,0,5,0,0.453112,5,18.63,93.15,0.0,65.2,5,93.15
Suburban Cash,137,28,0,0,0,0,0,2,1,0,11,5,1,2,1,1.0673,0,1,0,0.198998,1,21.02,21.02,0.0,14.71,1,21.02
Urban Regulars,138,25,1,1,0,0,1,2,1,3,6,18,0,6,6,0.2049,0,0,1,0.586758,6,11.41,0.0,0.0,0.0,0,0.0
Suburban Cash,139,37,0,1,0,0,1,2,2,2,15,17,2,8,6,1.1834,0,2,0,0.064905,2,20.17,40.34,0.0,28.24,2,40.34
Urban Regulars,140,33,1,0,0,0,0,2,1,5,5,10,5,4,-1,0.9211,1,4,1,0.864237,4,16.17,64.68,9.7,35.58,4,64.68
Urban Regulars,141,30,1,0,0,0,0,1,3,0,5,10,5,0,-5,3.6265,0,5,0,0.552429,5,11.55,57.75,0.0,40.42,5,57.75
Urban Regulars,142,30,1,0,0,0,0,2,1,0,4,10,4,13,9,2.243,0,4,0,0.5731,4,15.77,63.08,0.0,44.16,4,63.08
Suburban Cash,143,33,0,0,0,0,1,2,1,0,11,8,3,10,7,0.6897,0,3,0,0.039044,3,60.85,182.55,0.0,127.78,3,182.55
Urban Regulars,144,23,1,0,0,0,1,2,1,1,8,18,3,0,-3,0.6653,1,0,1,0.401334,0,28.5,0.0,0.0,0.0,0,0.0
Rain Riders,145,27,1,0,1,0,0,2,1,5,2,6,16,6,-10,0.5073,0,16,0,0.781733,16,17.87,285.92,0.0,200.14,16,285.92
Urban Regulars,146,28,1,0,0,0,0,2,1,0,8,6,3,6,3,0.5955,0,3,1,0.520664,6,12.85,38.55,0.0,26.98,3,38.55
Rain Riders,147,33,1,0,1,0,0,2,2,2,2,14,18,3,-15,1.254,1,3,0,0.548911,18,12.32,36.96,5.54,20.33,3,36.96
Rain Riders,148,38,1,0,1,0,0,2,1,9,5,11,7,25,18,0.7295,0,7,1,0.702891,25,15.77,110.39,0.0,77.27,7,110.39
Rain Riders,149,29,1,0,1,0,1,2,2,1,7,17,6,9,3,0.3065,1,9,0,0.131394,6,23.76,213.84,27.0,122.69,9,213.84
Urban Regulars,150,33,1,0,0,0,1,2,1,6,8,9,16,15,-1,0.2984,0,16,0,0.563666,16,20.26,324.16,0.0,226.91,16,324.16
Suburban Card,151,22,0,0,0,0,1,1,1,0,9,18,6,0,-6,1.6343,0,6,0,0.086928,6,82.67,496.02,0.0,347.21,6,496.02
Suburban Cash,152,31,0,1,0,0,1,2,1,0,18,17,2,3,1,0.9839,1,3,0,0.024914,2,26.51,79.53,9.0,46.67,3,79.53
Airport Business,153,27,1,0,0,1,0,2,1,2,3,22,14,3,-11,0.4536,1,3,1,0.843573,3,37.19,111.57,9.0,69.1,3,111.57
Rain Riders,154,30,1,0,1,0,0,2,1,2,3,20,7,3,-4,1.0663,1,3,1,0.574113,3,8.48,25.44,3.82,13.99,3,25.44
Urban Regulars,155,38,1,0,0,0,0,2,1,2,6,1,13,13,0,0.476,1,13,1,0.679077,13,28.84,374.92,39.0,223.44,13,374.92
Suburban Cash,156,36,0,0,0,0,0,2,1,0,14,0,0,7,7,1.2687,0,0,0,0.10511,0,11.34,0.0,0.0,0.0,0,0.0
Urban Regulars,157,21,1,0,0,0,1,2,1,4,6,7,17,27,10,0.3988,1,27,0,0.695641,17,26.98,728.46,81.0,428.92,27,728.46
Suburban Card,158,38,0,1,0,0,1,1,1,3,15,7,0,5,5,1.2366,1,5,0,0.080429,0,10.02,50.1,7.52,27.55,5,50.1
Suburban Cash,159,30,0,0,0,0,0,2,1,8,13,15,16,8,-8,0.8149,1,8,0,0.635383,16,15.39,123.12,18.47,67.71,8,123.12
Suburban Cash,160,37,0,0,0,0,1,2,3,5,17,8,19,3,-16,0.5436,1,3,0,0.106307,19,58.63,175.89,9.0,114.12,3,175.89
Urban Regulars,161,31,1,0,0,0,1,2,1,10,4,18,27,17,-10,0.1861,1,17,1,0.764449,17,26.73,454.41,51.0,267.09,17,454.41
Suburban Card,162,24,0,0,0,0,0,1,1,5,14,21,18,3,-15,1.3154,1,3,0,0.606054,18,25.57,76.71,9.0,44.7,3,76.71
Urban Regulars,163,27,1,1,0,0,0,2,1,9,1,11,24,25,1,0.9089,0,24,1,0.956087,25,21.55,517.2,0.0,362.04,24,517.2
Urban Regulars,164,27,1,0,0,0,1,2,1,0,5,7,4,6,2,0.3528,0,4,0,0.249158,4,20.98,83.92,0.0,58.74,4,83.92
Urban Regulars,165,29,1,0,0,0,1,2,1,4,1,8,10,22,12,0.1106,0,10,0,0.679103,10,20.49,204.9,0.0,143.43,10,204.9
Urban Regulars,166,24,1,0,0,0,0,2,2,9,5,21,17,23,6,0.7067,0,17,1,0.949356,23,17.7,300.9,0.0,210.63,17,300.9
Suburban Cash,167,27,0,0,0,0,1,2,2,1,6,18,9,3,-6,0.3001,0,9,0,0.153993,9,18.35,165.15,0.0,115.6,9,165.15
Suburban Cash,168,50,0,0,0,0,0,2,1,2,4,13,6,4,-2,0.5407,0,6,0,0.258986,6,36.79,220.74,0.0,154.52,6,220.74
Rain Riders,169,28,1,0,1,0,1,2,1,2,6,17,5,6,1,0.3832,0,5,0,0.209302,5,12.18,60.9,0.0,42.63,5,60.9
Suburban Cash,170,27,0,1,0,0,0,2,3,3,14,16,9,10,1,0.9833,1,10,0,0.457838,9,27.54,275.4,30.0,162.78,10,275.4
Urban Regulars,171,25,1,1,0,0,0,2,1,7,3,10,9,10,1,0.9342,0,9,1,0.943179,10,31.65,284.85,0.0,199.4,9,284.85
Urban Regulars,172,38,1,1,0,0,1,2,1,2,7,7,4,12,8,0.2377,1,12,1,0.302697,12,21.39,256.68,36.0,143.68,12,256.68
Urban Regulars,173,35,1,0,0,0,1,2,1,2,5,9,10,10,0,0.2503,1,10,0,0.382241,10,20.1,201.0,30.0,110.7,10,201.0
Suburban Cash,174,29,0,0,0,0,1,2,2,0,16,17,1,7,6,0.925,0,1,0,0.033093,1,31.8,31.8,0.0,22.26,1,31.8
